javadoc,code,method_name,parameters,return_type,return_variable,called_methods,local_variables,thrown_exceptions,class_name
"/*** Gets the location.
*
* @return the current location
*/",public Point getLoc(){return location;},getLoc,,Point,location,[],['location'],[],Ball
"/*** Draws the ball, and if non-active also draws its vector.
*
* @param g the Graphics context on which to draw
*/","public void draw(Graphics g){
g.setColor(color);
g.fillOval(location.intX() - radius, location.intY() - radius, radius * 2, radius * 2);
if (!active){
Vector standard_vec = move.normalize().scale(radius * 2);
g.setColor(Color.RED);
g.drawLine(location.intX(), location.intY(), standard_vec.move(location).intX(), standard_vec.move(location).intY());
}
}

/* Make a Ball with the same features as this ball.
* @see java.lang.Object#clone()
*/
@Override
public Ball clone() {
try {
return (Ball)super.clone();
}catch (CloneNotSupportedException cnse) {
throw new RuntimeException
(""This class does not Implament Cloneable"");
}

}",draw,Graphics g,void,(Ball)super.clone(),"['setColor', 'fillOval', 'intX', 'intY', 'normalize', 'scale', 'drawLine', 'move', 'clone', 'RuntimeException']",['standard_vec'],['RuntimeException'],Ball
"/*** Checks if the process is completed.
* @return true, if is done */","public boolean isDone(){
return finishedInstructions == totalInstructions;}",isDone,,boolean,finishedInstructions == totalInstructions,[],['finishedInstructions'],[],Process
/**Perform a single instruction of the process. */,"public void performInstruction(){
if (!isDone())
finishedInstructions++;
}",performInstruction,,void,,['isDone'],[],[],Process
"/***  Returns a clone of this process that is identical in every way
*  except that it has null links.
*
* @return the process
* @see java.lang.Object#clone()
*/","@Override
public Process clone(){
Process copy = null;
try{
copy = (Process) super.clone();
copy.next = copy.prev = null;
copy.bar = null;
}
catch (CloneNotSupportedException e){
throw new RuntimeException(""forgot to make Cloneable?"");
}
return copy;
}",clone,,Process,copy,['RuntimeException'],"['copy', 'copy']",['RuntimeException'],Process
"/***  Checks for equality of this process with the parameter process.
*  It will check everything except for the links.
*
* @param other the object against which to test for equality
* @return true, if successful
* @see java.lang.Object#equals(java.lang.Object)
*/","@Override
public boolean equals(Object other){
if (!(other instanceof Process) || other == null) return false;
Process p = (Process) other;

return p.totalInstructions == totalInstructions &&
p.finishedInstructions == finishedInstructions &&
p.name.equals(name);
}",equals,Object other,boolean,false,[],"['false', 'p']",[],Process
"/**Instantiates a new queue object.
*  It will only contain a dummy process with null name and 0 instructions,
*  linked circularly to itself. This dummy process should never be
*  passed outside of this class.
*  @postcondition queue is empty except for dummy process
*/","public Queue(){
dummy = new Process();
dummy.next = dummy;
dummy.prev = dummy;
version = 0;
manyItems = 0;
assert wellFormed() : ""invariant failed in constructor"";
}",Queue,,public,,"['Process', 'wellFormed']",[],[],Queue
"/**Adds a new process to the end of the queue.
*
* @param p process to add to the end of this queue
* @throws NullPointerException if the process to add is null
* @throws IllegalArgumentException if the process is already in another queue
*
* @return true always
* @see java.util.Queue#offer(java.lang.Object)
*/","@Override
public boolean offer(Process p) {
assert wellFormed() : ""invariant failed at start of offer"";
if(p == null) throw new NullPointerException(""Can't put null in list"");
if(p.next != null || p.prev != null) throw new IllegalArgumentException(""Item already in queue"");

p.next = dummy;
p.prev = dummy.prev;
dummy.prev = p;
p.prev.next = p;
version++;
manyItems++;
assert wellFormed() : ""invariant failed at end of offer"";
return true;
}",offer,Process p,boolean,true,"['wellFormed', 'NullPointerException', 'IllegalArgumentException']",['true'],"['IllegalArgumentException', 'NullPointerException']",Queue
"/**Add all processes from parameter queue into the back of this queue.
*  The parameter queue should be empty after this method,
* except if the parameter is the same as this, in which case, nothing happens.
* @param pq the queue from which to take all processes, must not be null
*/","public void takeAll(Queue pq) {
assert wellFormed() : ""invariant failed at start of takeAll"";
if(pq == null) throw new NullPointerException(""Queue is empty"");
if(pq.manyItems == 0) return;
if(this == pq) return;

pq.dummy.prev.next = dummy;
pq.dummy.next.prev = dummy.prev;
dummy.prev.next = pq.dummy.next;
dummy.prev = pq.dummy.prev;
pq.dummy.prev = pq.dummy.next= pq.dummy;

manyItems += pq.manyItems;
pq.manyItems = 0;

version++;
pq.version++;

assert wellFormed() : ""invariant failed at end of takeAll"";
assert pq.wellFormed() : ""parameter queue invariant failed at end of takeAll"";
}",takeAll,Queue pq,void,,"['wellFormed', 'NullPointerException']",[],['NullPointerException'],Queue
"/**Returns the next process to be polled from this queue.
*
* @return the next process to be polled by this queue, or null if empty
* @see java.util.Queue#peek()
*/","@Override
public Process peek(){
assert wellFormed() : ""invariant failed at start of peek"";
if(manyItems == 0) return null;
return dummy.next;
}",peek,,Process,null,['wellFormed'],['null'],[],Queue
"/**Removes and returns the process at the start of this queue, null if empty.
*  This method should never return the dummy process!
*
* @returns the process at the start of this queue, or null if empty
* @see java.util.Queue#poll()
*/","@Override
public Process poll() {
assert wellFormed() : ""invariant failed at start of poll"";
if(manyItems == 0) return null;
Process result = dummy.next;
dummy.next = result.next;
result.next.prev = dummy;
result.next = null;
result.prev = null;
version++;
manyItems--;
assert wellFormed() : ""invariant failed at end of poll"";
return result;
}",poll,,Process,null,['wellFormed'],"['null', 'result', 'result']",[],Queue
"/**Returns the number of non-dummy processes in this queue.
*
* @return the number of non-dummy processes
* @see java.util.AbstractCollection#size()
*/","@Override
public int size() {
assert wellFormed() : ""invariant of result failed at start of size()"";
return manyItems;
}",size,,int,manyItems,['wellFormed'],['manyItems'],[],Queue
"/*** gets x value
*
* @return current x value
*/","public double x() {
return this.x;
}",x,,double,this.x,[],[],[],Point
